StartTime: 2017-08-04 14:25:47.082
Time(s)	ChipTime	ax(g)	ay(g)	az(g) 
6.672	2015-01-01 00:01:40.720	0.0737	-0.3164	1.0977 
6.686	2015-01-01 00:01:40.740	0.1748	-0.3154	1.1489 
6.686	2015-01-01 00:01:40.760	0.2729	-0.1602	1.2803 
6.702	2015-01-01 00:01:40.780	0.0918	-0.2876	1.3726 
6.717	2015-01-01 00:01:40.800	-0.0171	-0.3701	1.3506 
6.736	2015-01-01 00:01:40.820	-0.2822	-0.2192	1.6147 
6.783	2015-01-01 00:01:40.840	-0.4507	-0.0757	1.5498 
6.841	2015-01-01 00:01:40.860	-0.3677	0.0000	1.0874 
6.867	2015-01-01 00:01:40.880	-0.1255	0.1206	0.5464 
6.867	2015-01-01 00:01:40.900	0.0464	0.1421	0.4517 
6.868	2015-01-01 00:01:40.920	-0.0073	-0.0664	0.7515 
6.887	2015-01-01 00:01:40.940	-0.1963	-0.2109	1.0630 
6.888	2015-01-01 00:01:40.960	-0.2344	-0.1616	1.1079 
6.903	2015-01-01 00:01:40.980	-0.1187	-0.0366	0.9810 
6.919	2015-01-01 00:01:41.000	-0.0859	0.0264	1.0249 
6.934	2015-01-01 00:01:41.020	-0.0889	0.0996	1.0249 
6.950	2015-01-01 00:01:41.040	-0.0210	0.1343	0.9502 
7.030	2015-01-01 00:01:41.060	0.0659	0.0640	0.9180 
7.099	2015-01-01 00:01:41.080	0.0620	-0.0068	0.9092 
7.173	2015-01-01 00:01:41.100	-0.0010	-0.0298	0.9463 
7.174	2015-01-01 00:01:41.120	-0.0444	0.0542	0.9238 
7.174	2015-01-01 00:01:41.140	-0.0068	0.1133	0.8486 
7.174	2015-01-01 00:01:41.160	-0.0132	0.0898	0.9082 
7.175	2015-01-01 00:01:41.180	-0.0542	0.0171	1.0693 
7.176	2015-01-01 00:01:41.200	-0.0728	-0.0430	1.0894 
7.271	2015-01-01 00:01:41.220	-0.0317	-0.0947	1.0415 
7.272	2015-01-01 00:01:41.240	-0.0176	-0.0884	1.0322 
7.314	2015-01-01 00:01:41.260	-0.0176	-0.0601	1.0239 
7.315	2015-01-01 00:01:41.280	0.0044	-0.0229	0.9805 
7.337	2015-01-01 00:01:41.300	0.0317	0.0083	0.9946 
7.337	2015-01-01 00:01:41.320	0.0435	0.0439	0.9971 
7.338	2015-01-01 00:01:41.340	0.0532	0.0698	0.9688 
7.338	2015-01-01 00:01:41.360	0.0571	0.0781	0.9619 
7.338	2015-01-01 00:01:41.380	0.0898	0.0396	0.9546 
7.338	2015-01-01 00:01:41.400	0.0942	0.0264	0.9155 
7.338	2015-01-01 00:01:41.420	0.0522	0.0923	0.8970 
7.353	2015-01-01 00:01:41.440	0.0737	0.0566	1.0112 
7.474	2015-01-01 00:01:41.460	0.1152	-0.0283	1.0566 
7.550	2015-01-01 00:01:41.480	0.1445	-0.0093	1.0391 
7.550	2015-01-01 00:01:41.500	0.1973	-0.0059	1.0791 
7.551	2015-01-01 00:01:41.520	0.1924	-0.0059	1.0928 
7.551	2015-01-01 00:01:41.540	0.1792	-0.0317	1.1309 
7.552	2015-01-01 00:01:41.560	0.0386	0.1289	1.2607 
7.552	2015-01-01 00:01:41.580	-0.0874	0.0884	1.3374 
7.570	2015-01-01 00:01:41.600	-0.2388	0.0210	1.5366 
7.570	2015-01-01 00:01:41.620	-0.3799	-0.0400	1.5693 
7.571	2015-01-01 00:01:41.640	-0.4702	0.0469	1.3081 
7.571	2015-01-01 00:01:41.660	-0.2378	0.1846	0.7871 
7.585	2015-01-01 00:01:41.680	-0.0542	0.0322	0.5103 
7.649	2015-01-01 00:01:41.700	-0.0044	-0.2036	0.5269 
7.733	2015-01-01 00:01:41.720	-0.1719	-0.2007	0.8296 
7.733	2015-01-01 00:01:41.740	-0.3135	-0.0889	1.1230 
7.811	2015-01-01 00:01:41.760	-0.2534	-0.0518	1.1719 
7.901	2015-01-01 00:01:41.780	-0.1675	-0.0122	1.0820 
7.911	2015-01-01 00:01:41.800	-0.1543	-0.0073	1.0781 
7.920	2015-01-01 00:01:41.820	-0.1440	-0.1099	1.0493 
7.987	2015-01-01 00:01:41.840	-0.1235	-0.1787	0.9258 
8.099	2015-01-01 00:01:41.860	-0.1431	-0.2144	0.9316 
8.101	2015-01-01 00:01:41.880	-0.1621	-0.2642	0.9668 
8.108	2015-01-01 00:01:41.900	-0.1069	-0.2773	0.9053 
8.172	2015-01-01 00:01:41.920	-0.0889	-0.2344	0.9385 
8.173	2015-01-01 00:01:41.940	-0.0933	-0.2041	0.9575 
8.173	2015-01-01 00:01:41.960	-0.0879	-0.1729	0.9595 
8.174	2015-01-01 00:01:41.980	-0.0757	-0.1436	0.9980 
8.174	2015-01-01 00:01:42.000	-0.0928	-0.0962	1.0347 
8.175	2015-01-01 00:01:42.020	-0.1001	-0.0664	1.0186 
8.175	2015-01-01 00:01:42.040	-0.0747	-0.0547	1.0303 
8.176	2015-01-01 00:01:42.060	-0.0752	-0.0454	1.0684 
8.176	2015-01-01 00:01:42.080	-0.1045	-0.0469	1.1099 
8.189	2015-01-01 00:01:42.100	-0.1118	-0.0933	1.1230 
8.190	2015-01-01 00:01:42.120	-0.1538	-0.0239	1.1377 
8.190	2015-01-01 00:01:42.140	-0.2300	0.0122	1.0581 
8.191	2015-01-01 00:01:42.160	-0.2231	0.0576	1.0415 
8.191	2015-01-01 00:01:42.180	-0.2349	-0.0557	1.0830 
8.191	2015-01-01 00:01:42.200	-0.2324	-0.1973	0.9941 
8.192	2015-01-01 00:01:42.220	-0.2432	-0.2622	1.0088 
8.192	2015-01-01 00:01:42.240	-0.2065	-0.2485	0.9858 
8.192	2015-01-01 00:01:42.260	-0.2173	-0.2246	0.9087 
8.192	2015-01-01 00:01:42.280	-0.1797	-0.2964	0.8662 
8.304	2015-01-01 00:01:42.300	-0.1587	-0.3623	0.8066 
8.365	2015-01-01 00:01:42.320	-0.2271	-0.3242	0.8804 
8.365	2015-01-01 00:01:42.340	-0.2817	-0.2446	1.0542 
8.365	2015-01-01 00:01:42.360	-0.2144	-0.1714	1.0371 
8.366	2015-01-01 00:01:42.380	-0.1460	-0.0415	0.9912 
8.366	2015-01-01 00:01:42.400	-0.0864	0.0117	0.9863 
8.382	2015-01-01 00:01:42.420	-0.0620	0.0015	0.9980 
8.382	2015-01-01 00:01:42.440	-0.0879	0.0688	1.0190 
8.382	2015-01-01 00:01:42.460	-0.1035	0.1025	1.0542 
8.397	2015-01-01 00:01:42.480	-0.1104	0.0674	1.0737 
8.465	2015-01-01 00:01:42.500	-0.1147	0.0361	1.0464 
8.510	2015-01-01 00:01:42.520	-0.1050	0.0039	1.0430 
8.511	2015-01-01 00:01:42.540	-0.0923	0.0068	1.0625 
8.511	2015-01-01 00:01:42.560	-0.0923	0.0425	1.0620 
8.511	2015-01-01 00:01:42.580	-0.0610	0.1191	1.0005 
8.536	2015-01-01 00:01:42.600	-0.0356	0.1255	0.9912 
8.537	2015-01-01 00:01:42.620	-0.0332	0.0898	0.9697 
8.552	2015-01-01 00:01:42.640	-0.0493	0.0654	1.0166 
8.570	2015-01-01 00:01:42.660	-0.0249	0.0444	1.0000 
8.659	2015-01-01 00:01:42.680	-0.0112	0.0166	0.9766 
8.841	2015-01-01 00:01:42.700	-0.0537	0.0962	1.0122 
8.931	2015-01-01 00:01:42.720	-0.0703	0.1206	0.9741 
8.933	2015-01-01 00:01:42.740	-0.0918	0.0830	0.9526 
8.934	2015-01-01 00:01:42.760	-0.1436	0.0278	1.0425 
8.934	2015-01-01 00:01:42.780	-0.1245	0.0518	1.1460 
8.942	2015-01-01 00:01:42.800	-0.0698	0.1255	1.1245 
9.015	2015-01-01 00:01:42.820	-0.0103	0.1396	1.0190 
9.016	2015-01-01 00:01:42.840	0.0195	0.0898	0.9844 
9.016	2015-01-01 00:01:42.860	0.0093	0.0444	1.0278 
9.108	2015-01-01 00:01:42.880	-0.0127	0.0254	1.0249 
9.110	2015-01-01 00:01:42.900	-0.0010	0.0278	0.9653 
9.119	2015-01-01 00:01:42.920	0.0117	0.0596	0.9761 
9.163	2015-01-01 00:01:42.940	-0.0117	0.0610	1.0244 
9.163	2015-01-01 00:01:42.960	0.0078	0.0571	1.0015 
9.163	2015-01-01 00:01:42.980	0.0386	0.0801	0.9644 
9.163	2015-01-01 00:01:43.000	0.0698	0.0859	0.9512 
9.163	2015-01-01 00:01:43.020	0.0786	0.0488	0.9424 
9.164	2015-01-01 00:01:43.040	0.0732	0.0283	0.9287 
9.164	2015-01-01 00:01:43.060	0.0713	0.0410	0.9297 
9.165	2015-01-01 00:01:43.080	0.0796	0.0381	0.9355 
9.165	2015-01-01 00:01:43.100	0.0698	0.0327	0.8867 
9.165	2015-01-01 00:01:43.120	0.1060	-0.0073	0.8818 
9.188	2015-01-01 00:01:43.140	0.1265	-0.0381	0.8911 
9.189	2015-01-01 00:01:43.160	0.1343	-0.0093	0.9219 
9.189	2015-01-01 00:01:43.180	0.1563	0.0171	0.9648 
9.189	2015-01-01 00:01:43.200	0.1689	0.0337	0.9976 
